Object ID,Title,Artist Display Name,Object Date,Classification,Link Resource,Avg. Anger,Avg. Contempt,Avg. Disgust,Avg. Fear,Avg. Happiness,Avg. Neutral,Avg. Sadness,Avg. Surprise,yearapprox,intyears
749681,"Mary Albert from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/749681,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,1888-01-01 00:00:00,1888
750694,"Darcelle from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750694,0.0,0.0,0.0,0.0,0.98,0.019,0.0,0.0,1888-01-01 00:00:00,1888
750713,"Deval from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750713,0.0,0.0,0.0,0.0,0.884,0.115,0.0,0.002,1888-01-01 00:00:00,1888
750838,"Miss Ferrere from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750838,0.0,0.0,0.0,0.0,0.9990000000000001,0.0,0.0,0.0,1888-01-01 00:00:00,1888
750865,"Miss Marion Hood from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750865,0.0,0.0,0.0,0.0,0.7809999999999999,0.217,0.001,0.001,1888-01-01 00:00:00,1888
750891,"Lebel from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750891,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0,1888-01-01 00:00:00,1888
750892,"Lebrun from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750892,0.0,0.001,0.0,0.0,0.73,0.26899999999999996,0.0,0.0,1888-01-01 00:00:00,1888
750908,"Lotta from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1888-01-01 00:00:00,1888
750933,"Niseau from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750933,0.0,0.004,0.0,0.0,0.775,0.22,0.0,0.001,1888-01-01 00:00:00,1888
750973,"Miss. Florence St. John from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/750973,0.0,0.0,0.0,0.0,0.759,0.24,0.0,0.0,1888-01-01 00:00:00,1888
751022,"Miss Williamson from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751022,0.0,0.001,0.0,0.0,0.8640000000000001,0.136,0.0,0.0,1888-01-01 00:00:00,1888
751025,Miss Fitzpatrick as Katharina (Taming of the Shrew),George Greatbach|The London Printing and Publishing Company|Emma Ftizpatrick|John Jabez Edwin Mayall,1851,Prints,http://www.metmuseum.org/art/collection/search/751025,0.0,0.001,0.0,0.0,0.731,0.267,0.0,0.0,1851-01-01 00:00:00,1851
751172,"Billie Barlow from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751172,0.0,0.10099999999999999,0.0,0.0,0.716,0.183,0.0,0.0,1888-01-01 00:00:00,1888
751187,"Lillian Grubb from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751187,0.0,0.001,0.0,0.0,0.809,0.19,0.0,0.0,1888-01-01 00:00:00,1888
751205,"Lebel from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751205,0.0,0.0,0.0,0.0,0.9840000000000001,0.015,0.0,0.0,1888-01-01 00:00:00,1888
751231,"Lillis from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1888-01-01 00:00:00,1888
751240,"Perllardine from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751240,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1888-01-01 00:00:00,1888
751259,"Miss Ferrere from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1888-01-01 00:00:00,1888
751261,"Miss Jacobs from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","American Tobacco Company|W. Duke, Sons & Co.",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751261,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1888-01-01 00:00:00,1888
751368,"James Powers from the Actresses, Celebrities, and Children series (N151) issued by Duke Sons & Co. to promote Duke Cigarettes","W. Duke, Sons & Co.|American Tobacco Company",ca. 1888,Photographs|Ephemera,http://www.metmuseum.org/art/collection/search/751368,0.0,0.003,0.0,0.0,0.97,0.026000000000000002,0.0,0.0,1888-01-01 00:00:00,1888
751643,"Earl Adams, Cincinnati Reds, from the Baseball Players Match Cover design series (U1) issued by Diamond Match Company",The Diamond Match Company,1934,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/751643,0.0,0.001,0.0,0.0,0.997,0.003,0.0,0.0,1934-01-01 00:00:00,1934
751654,"Earl Adams, Cincinnati Reds, from the Baseball Players Match Cover design series (U1) issued by Diamond Match Company",The Diamond Match Company,1934,Prints|Ephemera,http://www.metmuseum.org/art/collection/search/751654,0.0,0.0,0.0,0.0,0.9990000000000001,0.001,0.0,0.0,1934-01-01 00:00:00,1934
